ANCHORAGE 48081 174431                                                          
ATLANTA 495039 425022                                                           
BOSTON 641071 562994                                                            
CHARLOTTE 241420 314447                                                         
CHICAGO 3369357 3005072                                                         
DALLAS 844401 904078                                                            
DENVER 514678 492365                                                            
DETROIT 1514063 1203339                                                         
MIAMI 334859 346865                                                             
PHILADELPHIA 1949996 1688210                                                    
SACRAMENTO 257105 275741                                                        
