MALE 27 1 8 0 0                                                                 
FEMALE 29 3 14 5 10                                                             
FEMALE 34 2 10 3 3                                                              
MALE 35 2 12 4 8                                                                
FEMALE 36 4 16 3 7                                                              
MALE 21 1 5 0 0                                                                 
MALE 25 2 9 2 1                                                                 
FEMALE 21 1 4 2 6                                                               
MALE 38 3 11 4 3                                                                
FEMALE 30 3 5 1 0                                                               
