0734 1,323.34 2,472.85 3,276.65 5,345.52                                        
0943 1,908.34 2,560.38 3,472.09 5,290.86                                        
1009 2,934.12 3,308.41 4,176.18 7,581.81                                        
1043 1,295.38 5,980.28 8,876.84 6,345.94                                        
1190 2,189.84 5,023.57 2,794.67 4,243.35                                        
1382 3,456.34 2,065.83 3,139.08 6,503.49                                        
1734 2,345.83 3,423.32 1,034.43 1,942.28                                        
1824 1,323.34 2,472.85                                                          
1943 1,908.34                                                                   
2046 1,423.52 1,673.46 3,276.65                                                 
2063 2,345.34 2,452.45 3,523.52 2,983.01                                        
