1 NEW YORK     7,262,700                                                        
2 LOS ANGELES  3,259,340                                                        
3 CHICAGO      3,009,530                                                        
4 HOUSTON      1,728,910                                                        
5 PHILADELPHIA  1,642,900                                                       
6 DETROIT      1,086,220                                                        
7 SAN DIEGO    1,015,190                                                        
8 DALLAS       1,003,520                                                        
9 SAN ANTONIO  914,350                                                          
10 PHOENIX      894,070                                                         
